MDS_Dim1,MDS_Dim2,Output
0.5141229838960203,0.11099901932598134,16.2
0.32221542927742375,-0.1432285689963292,14.9
0.6849490198831875,-0.04582767451385636,25.7
0.32772057771962465,0.3851678544662965,26.1
0.5022576585945188,0.2676800280807105,19.7
0.3130450943104746,-0.6450211272346086,16.5
-0.527367264026122,-0.13860981391627245,23.3
-0.21776793352825322,0.3224930730994871,21.1
-0.056459986381770556,-0.14625974862819274,16.4
-0.07934099920975538,0.35942861794338965,35.1
0.11135390605267023,0.539716183647297,15.9
-0.45151598484820377,-0.05664848481055742,20.8
0.4641914835396414,-0.44608351655006906,24.2
0.20144351903519878,-0.603739250717411,5.28
-0.5869590351408189,-0.17025965290779463,-13.2
0.4933904475073909,-0.04484576112985012,14.7
0.37183920889657507,0.5978577188861653,-6.06
0.8253453673410608,0.2757977509315931,-19.7
0.883497837765544,0.01883593398034529,-20.6
0.39207745051111315,0.7239871653711132,17.5
-0.34187584046391284,0.5956811148067231,-5.5
0.5809330947953074,0.5391484805812295,0.827
0.0022230495870724804,-0.5057256375806721,19.0
-0.31024024611764967,0.5825614091471544,28.2
-0.2928142521264916,0.1188159867660509,28.8
0.42746917082810265,-0.5756040568218411,10.8
-0.18929133489531713,0.41846479020611205,35.4
-0.16174004508802378,0.10868296768141782,27.1
0.2983767248081721,0.8459160073618217,22.6
0.289701329144919,0.5914988197815081,10.7
0.12119159268032303,0.6456410926760778,21.5
-0.007845329385598636,-0.304045660868557,11.0
-0.18961194241496374,0.03272920629614742,14.6
0.5614973286171278,-0.24899496702252225,12.1
-0.476828067804625,0.19517252960044276,20.2
-0.1574535041557873,-0.3146580696091757,12.9
0.2984755120120811,-0.6686106212033864,15.3
0.19735497507964733,-0.7113368281843192,14.9
-0.33321352503520973,-0.12222929758925186,21.8
-0.25925820263632404,0.019422551595086632,11.6
0.16563534688453896,0.4578325077555459,20.2
0.5774849193104818,-0.08741827043132896,13.3
-0.5598203735872527,-0.30102301145839694,25.4
-0.4333476254458969,-0.23647044930708225,12.4
0.4391241609120227,0.7565443430079913,13.7
0.6113903088752864,0.07124414295990879,20.4
-0.374014863372817,-0.2785130679256922,10.6
0.6111118802558967,-0.6852537489214195,8.63
-0.47184635991524077,0.456553993749049,35.3
0.4463334705945368,-0.523539903184324,25.4
-0.4073446746038058,-0.598145039872107,7.22
0.47753549235384807,-0.1884080441905205,18.3
-0.5598203735871524,-0.3010230114585799,25.4
-0.17533987273077178,-0.4463564978361144,5.73
-0.6452730866817585,-0.10510547445250215,9.23
0.18841106393708382,-0.35784616953608933,8.46
-0.3488648607141054,-0.21235049995103342,16.1
-0.07048306502135515,-0.1329299104882667,18.3
-0.29181227337265303,0.08679618132623214,16.8
-0.5001286330651621,0.04491420990122048,14.8
-0.5596064364597502,0.0807529261902105,16.6
-0.19878683693501983,-0.024955465403879884,12.1
-0.07423376531003031,-0.24370903429505628,11.5
-0.21620203050400805,0.05691482884574324,16.1
0.2023224236895324,-0.4537566977892031,12.0
-0.539197705549689,-0.007561037909583309,12.9
-0.3262731663880494,-0.3957427873103659,-9.31
-0.531843004341661,0.06117696138346337,17.1
-0.5318430043416601,0.06117696138346506,17.1
-0.3589320031965796,-0.23087047832122454,19.6
-0.43230530074971407,0.6852183975832746,26.6
-0.33160452482486724,0.3182328671552769,29.9
0.11135390605263107,0.5397161836473116,16.0
-0.432305300221785,0.6852183978811455,26.7
-0.3316045248248676,0.31823286715527677,29.9
0.11135390605263737,0.5397161836473096,15.9
-0.037986367856176234,0.6360277071891084,-30.7
0.028015327525303935,-0.280167096812987,-20.8
-0.14839480495905327,-0.22214905244648603,-26.0
-0.31284541021154744,-0.14088322876722997,-24.7
-0.15004784957912706,-0.21697780831492372,-29.4
-0.11383904273597747,-0.1550598141432599,0.954
-0.21330926358464047,-0.2132107576445291,-3.89
-0.06497913285439665,-0.37508829428128826,15.5
-0.1756308135255203,-0.27715154208857423,9.92
-0.2371034452887085,-0.4206280182510392,1.41
-0.14839480495905322,-0.2221490524464861,13.1
-0.1678377869581706,-0.18456170000288025,14.2
-0.15413105715643446,-0.209854237532707,13.3
-0.13859753829834115,-0.254010814290843,14.5
-0.1483948049590532,-0.22214905244648603,12.9
-0.13971351466652873,-0.250406132538781,14.3
-0.16783778695817056,-0.18456170000288014,14.1
0.2824347836808771,-0.4053169014564515,6.28
-0.4584075881786858,-0.010273106890082848,19.6
-0.36126934990923576,-0.1778386969843252,18.3
-0.4823486885124021,-0.04999114958349393,21.3
-0.6028921217556351,0.15992962298159755,15.9
-0.12218748720964663,-0.3243738297582055,11.7
-0.42985544130833997,0.33013081706688635,39.4
-0.36708977060396264,-0.1560816915343678,17.4
0.17643034554078318,0.42206331212007747,20.3
-0.1530477292680728,-0.2739346837830927,12.8
0.3130450942894781,-0.6450211272480006,16.5
-0.01909034686702526,-0.20370415968307654,23.4
0.22191673838194614,0.5212869149406794,14.8
-0.0652338331587146,-0.3584508391553548,18.6
-0.412640297777038,0.3454770535290395,37.8
-0.0654074320044249,-0.6835510298589598,16.9
0.6791304843002703,0.08479935579292222,12.2
-0.3389505674990544,-0.10345175738938349,20.9
-0.42630033728385547,-0.17734356911792717,19.3
0.40514258517691953,0.26247384697995646,16.4
0.18083105682155617,0.8421769708078077,22.3
-0.6872209118172615,0.13089470907070816,16.3
0.2243765465671096,-0.1711481233238174,9.36
0.05390977458795738,0.10274117635399752,31.1
-0.08787749140371655,0.4961807159490762,37.3
-0.024038850227859673,-0.5316122276836927,17.9
-0.1530477292680728,-0.2739346837830926,12.9
0.6246500351020178,-0.4256660559646714,3.12
-0.1593905885732283,-0.17014390683593295,15.2
-0.21852270438842653,-0.0869419523532284,11.0
